total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
0.0,306.0,1.0,0.0,0.0,0.0
0.0,126.0,1.0,0.0,0.0,0.0
0.0,123.0,1.0,0.0,0.0,0.0
0.0,159.0,1.0,0.0,0.0,0.0
0.0,25.0,1.0,0.0,0.0,0.0
5.0,153.0,1.0,5.0,5.0,0.0
0.0,524.0,1.0,0.0,0.0,0.0
3.0,65.0,1.0,3.0,3.0,0.0
1.0,62.0,1.0,1.0,1.0,0.0
0.0,718.0,1.0,0.0,0.0,0.0
0.0,73.0,1.0,0.0,0.0,0.0
0.0,67.0,1.0,0.0,0.0,0.0
0.0,21.0,1.0,0.0,0.0,0.0
0.0,65.0,1.0,0.0,0.0,0.0
4.0,50.0,1.0,4.0,0.0,1.0
0.0,109.0,1.0,0.0,0.0,0.0
4.0,109.0,1.0,4.0,0.0,1.0
3.0,435.0,1.0,3.0,3.0,0.0
1.0,134.0,1.0,1.0,1.0,0.0
0.0,77.0,1.0,0.0,0.0,0.0
0.0,156.0,1.0,0.0,0.0,0.0
0.0,33.0,1.0,0.0,0.0,0.0
23.0,88.0,1.0,23.0,3.0,5.0
0.0,109.0,1.0,0.0,0.0,0.0
0.0,85.0,1.0,0.0,0.0,0.0
0.0,73.0,1.0,0.0,0.0,0.0
13.0,66.0,1.0,13.0,0.0,0.0
0.0,390.0,1.0,7.0,7.0,0.0
0.0,122.0,1.0,0.0,0.0,0.0
0.0,34.0,1.0,0.0,0.0,0.0
7.0,158.0,1.0,7.0,3.0,1.0
0.0,62.0,1.0,0.0,0.0,0.0
4.0,341.0,1.0,4.0,0.0,1.0
0.0,5.0,1.0,0.0,0.0,0.0
3.0,94.0,1.0,3.0,3.0,0.0
0.0,20.0,1.0,0.0,0.0,0.0
0.0,164.0,1.0,0.0,0.0,0.0
1.0,111.0,1.0,1.0,1.0,0.0
8.0,270.0,1.0,8.0,0.0,2.0
0.0,20.0,1.0,0.0,0.0,0.0
0.0,104.0,1.0,0.0,0.0,0.0
0.0,63.0,1.0,0.0,0.0,0.0
0.0,70.0,1.0,0.0,0.0,0.0
0.0,167.0,1.0,0.0,0.0,0.0
0.0,44.0,1.0,0.0,0.0,0.0
0.0,214.0,1.0,0.0,0.0,0.0
0.0,884.0,1.0,0.0,0.0,0.0
0.0,155.0,1.0,0.0,0.0,0.0
0.0,75.0,1.0,0.0,0.0,0.0
0.0,110.0,1.0,0.0,0.0,0.0
0.0,49.0,1.0,0.0,0.0,0.0
0.0,175.0,1.0,0.0,0.0,0.0
3.0,199.0,1.0,3.0,3.0,0.0
7.0,169.0,1.0,7.0,7.0,0.0
0.0,250.0,1.0,0.0,0.0,0.0
4.0,861.0,1.0,4.0,0.0,1.0
0.0,110.0,1.0,0.0,0.0,0.0
16.0,150.0,1.0,23.0,7.0,4.0
0.0,1024.0,1.0,0.0,0.0,0.0
0.0,47.0,1.0,0.0,0.0,0.0
17.0,639.0,1.0,31.0,7.0,6.0
1.0,269.0,1.0,1.0,1.0,0.0
4.0,121.0,1.0,4.0,0.0,1.0
0.0,22.0,1.0,0.0,0.0,0.0
4.0,133.0,1.0,4.0,0.0,1.0
50.0,98.0,2.0,50.0,0.0,0.0
0.0,160.0,1.0,0.0,0.0,0.0
3.0,42.0,1.0,3.0,3.0,0.0
0.0,290.0,1.0,0.0,0.0,0.0
0.0,91.0,1.0,0.0,0.0,0.0
2.0,456.0,1.0,2.0,2.0,0.0
1.0,35.0,1.0,1.0,1.0,0.0
14.0,442.0,1.0,14.0,0.0,1.0
0.0,76.0,1.0,0.0,0.0,0.0
0.0,113.0,1.0,0.0,0.0,0.0
0.0,304.0,1.0,0.0,0.0,0.0
0.0,276.0,1.0,0.0,0.0,0.0
4.0,49.0,1.0,4.0,0.0,1.0
4.0,1185.0,1.0,4.0,0.0,1.0
0.0,56.0,1.0,0.0,0.0,0.0
0.0,118.0,1.0,0.0,0.0,0.0
0.0,11.0,1.0,0.0,0.0,0.0
0.0,86.0,1.0,0.0,0.0,0.0
0.0,22.0,1.0,0.0,0.0,0.0
4.0,82.0,1.0,4.0,0.0,1.0
7.0,322.0,1.0,7.0,7.0,0.0
0.0,18.0,1.0,0.0,0.0,0.0
0.0,63.0,1.0,0.0,0.0,0.0
8.0,102.0,1.0,8.0,0.0,2.0
5.0,93.0,1.0,5.0,5.0,0.0
0.0,116.0,1.0,0.0,0.0,0.0
0.0,30.0,1.0,0.0,0.0,0.0
1.0,34.0,1.0,1.0,1.0,0.0
0.0,57.0,1.0,0.0,0.0,0.0
2.0,96.0,1.0,2.0,2.0,0.0
0.0,133.0,1.0,0.0,0.0,0.0
3.0,125.0,1.0,3.0,3.0,0.0
0.0,64.0,1.0,0.0,0.0,0.0
0.0,143.0,1.0,0.0,0.0,0.0
7.0,127.0,1.0,7.0,7.0,0.0
0.0,172.0,1.0,7.0,7.0,0.0
3.0,332.0,1.0,3.0,3.0,0.0
0.0,16.0,1.0,0.0,0.0,0.0
0.0,64.0,1.0,0.0,0.0,0.0
1.0,93.0,1.0,1.0,1.0,0.0
0.0,107.0,1.0,0.0,0.0,0.0
4.0,526.0,1.0,4.0,0.0,1.0
0.0,172.0,1.0,0.0,0.0,0.0
0.0,68.0,1.0,0.0,0.0,0.0
3.0,211.0,1.0,3.0,3.0,0.0
0.0,89.0,1.0,0.0,0.0,0.0
1.0,67.0,1.0,1.0,1.0,0.0
