index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
14-10-31,4.0,164.0,1.0,4.0,4.0,0.0
14-10-43,4.0,309.0,1.0,4.0,4.0,0.0
14-11-16,10.0,261.0,1.0,10.0,0.0,0.0
14-11-30,1.0,191.0,1.0,1.0,1.0,0.0
14-11-40,0.0,85.0,1.0,0.0,0.0,0.0
14-11-44,7.0,75.0,1.0,7.0,3.0,1.0
14-11-47,1.0,109.0,1.0,1.0,1.0,0.0
14-11-54,0.0,2.0,1.0,0.0,0.0,0.0
14-11-55,3.0,182.0,1.0,3.0,3.0,0.0
14-12-07,0.0,268.0,1.0,0.0,0.0,0.0
14-12-24,0.0,35.0,1.0,0.0,0.0,0.0
14-12-26,0.0,37.0,1.0,0.0,0.0,0.0
14-12-27,0.0,233.0,1.0,0.0,0.0,0.0
14-12-43,0.0,248.0,1.0,0.0,0.0,0.0
14-12-56,0.0,185.0,1.0,0.0,0.0,0.0
14-13-12,0.0,168.0,1.0,0.0,0.0,0.0
14-13-20,6.0,434.0,1.0,6.0,2.0,1.0
14-13-51,0.0,103.0,1.0,0.0,0.0,0.0
14-13-55,2.0,180.0,1.0,2.0,2.0,0.0
14-14-11,4.0,103.0,1.0,4.0,4.0,0.0
14-14-17,0.0,91.0,1.0,0.0,0.0,0.0
14-14-22,0.0,110.0,1.0,0.0,0.0,0.0
14-14-31,14.0,409.0,1.0,14.0,0.0,1.0
14-14-56,0.0,147.0,1.0,0.0,0.0,0.0
14-15-03,3.0,65.0,1.0,3.0,3.0,0.0
14-15-07,0.0,96.0,1.0,3.0,3.0,0.0
14-15-11,8.0,289.0,1.0,8.0,0.0,2.0
14-15-33,0.0,122.0,1.0,0.0,0.0,0.0
14-15-40,0.0,125.0,1.0,0.0,0.0,0.0
14-15-46,0.0,54.0,1.0,0.0,0.0,0.0
14-15-48,0.0,71.0,1.0,0.0,0.0,0.0
14-15-54,0.0,110.0,1.0,0.0,0.0,0.0
14-16-00,29.0,54.0,1.0,29.0,5.0,6.0
14-16-04,24.0,57.0,1.0,24.0,0.0,6.0
14-16-07,0.0,261.0,1.0,0.0,0.0,0.0
14-16-21,78.0,150.0,2.0,78.0,4.0,6.0
14-16-32,0.0,158.0,1.0,0.0,0.0,0.0
14-16-39,11.0,270.0,1.0,11.0,3.0,2.0
14-16-56,0.0,147.0,1.0,0.0,0.0,0.0
