index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
17-23-00,0.0,2083.0,1.0,0.0,0.0,0.0
17-23-11,0.0,2279.0,1.0,0.0,0.0,0.0
17-23-27,0.0,2266.0,1.0,0.0,0.0,0.0
17-23-40,0.0,1995.0,1.0,0.0,0.0,0.0
17-23-48,2.0,762.0,1.0,2.0,2.0,0.0
17-23-54,0.0,1394.0,1.0,0.0,0.0,0.0
17-24-06,0.0,2406.0,1.0,0.0,0.0,0.0
17-24-15,0.0,270.0,1.0,0.0,0.0,0.0
17-24-17,3.0,2873.0,1.0,3.0,3.0,0.0
17-24-46,0.0,825.0,1.0,0.0,0.0,0.0
17-24-53,0.0,2500.0,1.0,0.0,0.0,0.0
17-25-04,0.0,2746.0,1.0,0.0,0.0,0.0
17-25-18,1.0,2421.0,1.0,1.0,1.0,0.0
17-25-34,0.0,243.0,1.0,0.0,0.0,0.0
17-25-39,2.0,1396.0,1.0,2.0,2.0,0.0
17-25-48,0.0,41.0,1.0,0.0,0.0,0.0
17-25-49,0.0,1754.0,1.0,0.0,0.0,0.0
17-26-04,0.0,644.0,1.0,0.0,0.0,0.0
17-26-09,0.0,2240.0,1.0,0.0,0.0,0.0
17-26-16,0.0,1325.0,1.0,0.0,0.0,0.0
17-26-27,0.0,1637.0,1.0,0.0,0.0,0.0
17-26-42,0.0,250.0,1.0,0.0,0.0,0.0
17-26-43,0.0,2422.0,1.0,0.0,0.0,0.0
17-26-58,0.0,76.0,1.0,0.0,0.0,0.0
17-26-59,0.0,3258.0,1.0,0.0,0.0,0.0
17-27-23,0.0,311.0,1.0,0.0,0.0,0.0
17-27-31,2.0,970.0,1.0,2.0,2.0,0.0
17-27-41,0.0,64.0,1.0,0.0,0.0,0.0
17-27-42,0.0,699.0,1.0,0.0,0.0,0.0
17-27-48,0.0,2134.0,1.0,0.0,0.0,0.0
17-27-57,0.0,2252.0,1.0,0.0,0.0,0.0
17-28-04,0.0,64.0,1.0,0.0,0.0,0.0
17-28-05,0.0,900.0,1.0,0.0,0.0,0.0
17-28-17,0.0,2378.0,1.0,0.0,0.0,0.0
17-28-32,0.0,1872.0,1.0,0.0,0.0,0.0
17-28-43,0.0,1028.0,1.0,0.0,0.0,0.0
17-28-49,0.0,136.0,1.0,0.0,0.0,0.0
17-28-51,0.0,2338.0,1.0,0.0,0.0,0.0
17-29-02,0.0,65.0,1.0,0.0,0.0,0.0
17-29-04,0.0,1587.0,1.0,0.0,0.0,0.0
17-29-26,0.0,921.0,1.0,0.0,0.0,0.0
17-29-37,0.0,2078.0,1.0,0.0,0.0,0.0
17-29-54,0.0,438.0,1.0,0.0,0.0,0.0
17-29-58,0.0,2246.0,1.0,0.0,0.0,0.0
17-30-10,0.0,430.0,1.0,0.0,0.0,0.0
17-30-15,2.0,2343.0,1.0,2.0,2.0,0.0
17-30-24,2.0,2351.0,1.0,2.0,2.0,0.0
17-30-45,0.0,30.0,1.0,0.0,0.0,0.0
17-30-46,0.0,2383.0,1.0,0.0,0.0,0.0
17-31-00,1.0,1406.0,1.0,1.0,1.0,0.0
17-31-08,0.0,2210.0,1.0,0.0,0.0,0.0
17-31-19,0.0,946.0,1.0,0.0,0.0,0.0
17-31-32,0.0,31.0,1.0,0.0,0.0,0.0
17-31-33,0.0,790.0,1.0,0.0,0.0,0.0
17-31-41,3.0,941.0,1.0,3.0,3.0,0.0
17-31-49,0.0,683.0,1.0,0.0,0.0,0.0
17-31-54,0.0,47.0,1.0,0.0,0.0,0.0
17-31-55,0.0,2340.0,1.0,0.0,0.0,0.0
17-32-06,0.0,204.0,1.0,0.0,0.0,0.0
